suburb,state,postCode,lat,lng
Australian National University,ACT,200,-35.28,149.12
Barton,ACT,221,-35.2,149.1
Darwin,NT,800,-12.8,130.96
Darwin,NT,801,-12.8,130.96
Parap,NT,804,-12.43,130.84
Alawa,NT,810,-12.38,130.88
Brinkin,NT,810,-12.38,130.88
Casuarina,NT,810,-12.38,130.88
Coconut Grove,NT,810,-12.38,130.88
Jingili,NT,810,-12.38,130.88
Lee Point,NT,810,-12.38,130.88
Lyons,NT,810,-12.38,130.88
Millner,NT,810,-12.38,130.88
Moil,NT,810,-12.38,130.88
Muirhead,NT,810,-12.38,130.88
Nakara,NT,810,-12.38,130.88
Nightcliff,NT,810,-12.38,130.88
Rapid Creek,NT,810,-12.38,130.88
Tiwi,NT,810,-12.38,130.88
Wagaman,NT,810,-12.38,130.88
Wanguri,NT,810,-12.38,130.88
Casuarina,NT,811,-12.38,130.85
Anula,NT,812,-12.4,130.91
Buffalo Creek,NT,812,-12.4,130.91
Holmes,NT,812,-12.4,130.91
Karama,NT,812,-12.4,130.91
Leanyer,NT,812,-12.4,130.91
Malak,NT,812,-12.4,130.91
Marrara,NT,812,-12.4,130.91
Northlakes,NT,812,-12.4,130.91
Sanderson,NT,812,-12.4,130.91
Woodleigh Gardens,NT,812,-12.4,130.91
Wulagi,NT,812,-12.4,130.91
Sanderson,NT,813,0,0
Nightcliff,NT,814,-12.38,130.85
Charles Darwin University,NT,815,0,0
Bagot,NT,820,-12.41,130.86
Bayview,NT,820,-12.41,130.86
Charles Darwin,NT,820,-12.41,130.86
Coonawarra,NT,820,-12.41,130.86
Cullen Bay,NT,820,-12.41,130.86
Darwin DC,NT,820,-12.41,130.86
Darwin International Airport,NT,820,-12.41,130.86
Darwin MC,NT,820,-12.41,130.86
East Point,NT,820,-12.41,130.86
Eaton,NT,820,-12.41,130.86
Fannie Bay,NT,820,-12.41,130.86
Larrakeyah,NT,820,-12.41,130.86
Ludmilla,NT,820,-12.41,130.86
Parap,NT,820,-12.41,130.86
Raaf Base Darwin,NT,820,-12.41,130.86
Stuart Park,NT,820,-12.41,130.86
The Gardens,NT,820,-12.41,130.86
The Narrows,NT,820,-12.41,130.86
Winnellie,NT,820,-12.41,130.86
Woolner,NT,820,-12.41,130.86
Winnellie,NT,821,-12.43,130.88
Acacia Hills,NT,822,-12.8,131.13
Angurugu,NT,822,-12.8,131.13
Anindilyakwa,NT,822,-12.8,131.13
